ID;IBANmetBIC;IBANzonderBIC;Categorie;Naam
1;INGBNL2ANL56INGB0705005100;NL56INGB0705005101;Strafrechtelijkeveroordelingenenfeiten;CJIB
2;INGBNL2ANL90INGB0705005070;NL90INGB0705005071;Strafrechtelijkeveroordelingenenfeiten;CJIB
3;INGBNL2A NL31INGB0705005259;NL31INGB0705005260;Strafrechtelijke veroordelingen en feiten;CJIB
4;INGBNL2A NL84INGB0705005178;NL84INGB0705005178;Strafrechtelijke veroordelingen en feiten;CJIB
5;INGBNL2A NL84INGB0705005178;NL84INGB0705005178;Strafrechtelijke veroordelingen en feiten;CJIB
6;INGBNL2A NL34INGB0705005593;NL34INGB0705005594;Strafrechtelijke veroordelingen en feiten;CJIB
7;INGBNL2A NL62INGB0705005089;NL62INGB0705005090;Strafrechtelijke veroordelingen en feiten;CJIB
8;INGBNL2A NL59INGB0705005240;NL59INGB0705005240;Strafrechtelijke veroordelingen en feiten;CJIB
9;INGBNL2A NL59INGB0705005143;NL59INGB0705005143;Strafrechtelijke veroordelingen en feiten;CJIB
10;INGBNL2A NL37INGB0705005054;NL37INGB0705005055;Strafrechtelijke veroordelingen en feiten;CJIB
11;INGBNL2A NL40INGB0705005097;NL40INGB0705005098;Strafrechtelijke veroordelingen en feiten;CJIB
12;INGBNL2A NL06INGB0705005224;NL06INGB0705005225;Strafrechtelijke veroordelingen en feiten;CJIB
13;INGBNL2A NL59INGB0705005240;NL59INGB0705005240;Strafrechtelijke veroordelingen en feiten;CJIB
14;INGBNL2A NL59INGB0705005240;NL59INGB0705005240;Strafrechtelijke veroordelingen en feiten;CJIB
15;INGBNL2A NL59INGB0705005240;NL59INGB0705005240;Strafrechtelijke veroordelingen en feiten;CJIB
16;INGBNL2A NL84INGB0705005275;NL84INGB0705005275;Strafrechtelijke veroordelingen en feiten;CJIB
17;INGBNL2A NL84INGB0705005275;NL84INGB0705005275;Strafrechtelijke veroordelingen en feiten;CJIB
18;INGBNL2A NL47INGB0000003054;NL47INGB0000003054;Gezondheidsgegevens;FBTO
19;ABNANL2A NL59ABNA0409701017;NL59ABNA0409701017;Gezondheidsgegevens;ONVZ
20;INGBNL2A NL42INGB0005181586;NL42INGB0005181586;Gezondheidsgegevens;ONVZ
21;ABNANL2A NL74ABNA0578332434;NL74ABNA0578332434;Gezondheidsgegevens;ONVZ
22;ABNANL2A NL38ABNA0630497451;NL38ABNA0630497451;Politieke opvattingen;Volkspartij voor Vrijheid en Democratie (VVD)
23;RABONL2U NL21RABO0330044117;NL21RABO0330044117;Politieke opvattingen;Partij van de Arbeid (P.v.d.A.)
24;INGBNL2A NL53INGB0000137000;NL53INGB0000137000;Politieke opvattingen;Christen Democratisch Appèl (CDA)
25;RABONL2U NL11RABO0191996807;NL11RABO0191996808;Politieke opvattingen;POLITIEKE PARTIJ DEMOCRATEN 66 (D66)
26;RABONL2U NL09RABO0357679148;NL09RABO0357679148;Politieke opvattingen;Staatkundig Gereformeerde Partij (SGP)
27;TRIONL2U NL05TRIO0777927144;NL05TRIO0777927144;Politieke opvattingen;GroenLinks (GROENLINKS)
28;RABONL2U NL60RABO0381965090;NL60RABO0381965090;Politieke opvattingen;Socialistische Partij (SP)
29;RABONL2U NL55RABO0372930018;NL55RABO0372930018;Politieke opvattingen;ChristenUnie (ChristenUnie)
30;TRIONL2U NL94TRIO0212486934;NL94TRIO0212486934;Politieke opvattingen;Partij voor de Dieren (Partij voor de Dieren)
31;;0;Politieke opvattingen;Partij voor de Vrijheid (PVV)
32;INGBNL2A NL98INGB0670472344;NL98INGB0670472344;Politieke opvattingen;Stichting vrienden van de PVV
33;TRIONL2U NL08TRIO0212269844;NL08TRIO0212269844;Politieke opvattingen;Partij voor Mens en Spirit (MenS)
